pmid,doi,source,title,abstract,journal,publication_date,first_author,authors,disease_subtype,treatment_area,publication_type,evidence_level,ma_relevance,why_it_matters_for_ma,retrieved_at
41432545,10.7554/elife.107018,europepmc,Vascular endothelial-specific loss of TGF-beta signaling as a model for choroidal neovascularization and central nervous system vascular inflammation,"In mice, postnatal endothelial cell (EC)-specific knockout of the genes coding for transforming growth factor-beta receptor (TGFBR)1 and/or TGFBR2 eliminates TGF-beta signaling in vascular ECs and leads to distinctive central nervous system (CNS) vascular phenotypes. Knockout mice exhibit (1) reduced intraretinal vascularization, (2) choroidal neovascularization with occasional anastomoses connecting choroidal and intraretinal vasculatures, (3) infiltration of diverse immune cells into the retina, including macrophages, T-cells, B-cells, NK cells, and dendritic cells, (4) a close physical association between immune cells and retinal vasculature, (5) a pro-inflammatory transcriptional state in CNS ECs, with increased ICAM1 immunoreactivity, and (6) increased smooth muscle actin immunostaining in CNS pericytes. Comparisons of the retinal phenotype with two other genetic models of retinal hypovascularization - loss of Norrin/Fzd4 signaling and loss of vascular endothelial growth factor (VEGF) signaling - show that the immune cell infiltrate is greatest with loss of TGF-beta signaling, more modest with loss of Norrin/Fzd4 signaling, and undetectable with loss of VEGF signaling. The phenotypes caused by loss of TGF-beta signaling in ECs recapitulate some of the cardinal features of retinal and neurologic diseases associated with vascular inflammation. These observations suggest that therapies that promote TGF-beta-dependent anti-inflammatory responses in ECs could represent a promising strategy for disease modulation.",eLife,2025-12-23,Wang Y,Wang Y; Rattner A; Li Z; Smallwood PM; Nathans J,unspecified HAE,burden/QoL,unknown,unknown,medium,HAE患者のQoL・疾患負荷データとして、患者アウトカムの重要性をpayerや医療者に伝える際の根拠として活用できる可能性があります。,2026-04-18T15:27:04Z
41423453,10.1038/s41467-025-67492-z,europepmc,Decrypting spatiotemporal code of human endometrial receptivity,"The mechanism underlying the establishment of human endometrial receptivity remains elusive, constituting a significant obstacle to advancing our knowledge of female infertility. Via integrating high-resolution spatiotemporal and single-cell transcriptomic profiling and in situ sequencing, we construct a spatiotemporal atlas of human endometrial receptivity at single-cell resolution. Our study depicts detailed spatial molecular topography governing the opening and closing of human endometrial receptivity. Notably, the results indicate that stromal-specific NR2F1, CEBPD and epithelial-specific SGK1, KLF5 and ELF3 are closely associated with the opening of implantation window. Furthermore, cholesterol metabolism is found to promote ciliogenesis. Remarkably, we identify stroma- and epithelium-specific factors and unravel a previously unappreciated role of FGFs-FGFR2 signaling pathway mediating stroma-epithelium crosstalk in epithelial differentiation during the onset of receptivity. This spatiotemporally resolved receptivity code provides insights into the female fertility, with potential implications for the intervention of female infertility.",Nature communications,2025-12-21,Liu Y,Liu Y; Wang Y; Zhang L; Tang Y; Hong Y; Liu M; Wang M; Sun Y; Shen X; Mei J; Wu M; Kong N; Kong S; Bao H; Deng W; Yan G; Wang H; Sun H,unspecified HAE,other,unknown,unknown,low,HAEに関する文献として、MA活動の参考資料として保持します。,2026-04-18T15:27:04Z
41413210,10.1038/s41598-025-32690-8,europepmc,Virus-derived serpin reduces immuno-coagulopathic damage in murine colitis by targeting the urokinase-type plasminogen activator receptor (uPAR) and complement,"A virus-derived serpin, Serp-1, has proven efficacy in treating inflammatory and coagulation disorders in preclinical and clinical studies. Serp-1 evolved over millions of years to block host immune responses, targeting serine proteases in immune and coagulation pathways. Treatment with PEGylated Serp-1 (PEGSerp-1) protein reduced lung injury in both lupus lung hemorrhage and SARS-CoV-2 models. Here, PEGSerp-1 effects on immune-coagulopathic responses is examined in a mouse colitis model. Inflammatory bowel disease (IBD) is associated with life-threatening complications with severe inflammation, bleeding, vasculitis, cancer and toxic megacolon. Serine protease cascades activate coagulation and complement pathways throughout the human body and are regulated by inhibitors, termed serpins, that can reduce gut inflammation. Prophylactic PEGSerp-1 significantly improved survival in severe 5% Dextran sodium sulfate (DSS) colitis, reducing inflammation and crypt damage. Colon damage and inflammation were also reduced after either acute colitis induced by 5% DSS or repeat 2% DSS induced colitis. PEGSerp-1 reduced inflammatory M1 macrophage invasion, urokinase-type plasminogen activator receptor (uPAR), fibrinogen and complement on immunohistochemical analysis. PEGSerp-1 reduced uPAR expression in human macrophage, but not colon cells. Here we report analysis of PEGSerp-1 as a tissue and macrophage targeting therapeutic for colitis, reducing immune and coagulation induced damage in the colon.",Scientific reports,2025-12-19,Lucas AR,Lucas AR; Monder H; Enow J; Woodrow C; Spaccarelli L; Garg A; Schlievert J; Elmadbouly N; Dupati A; Aliskevich E; Saju R; Kilbourne J; Lowe K; Hamada M; Pinteric A; Zanetti IR; Satyanarayanan RS; Gisriel S; Florsheim EB; Rahman M; Irving J; McFadden G; Kong W; Zhang L,unspecified HAE,basic science,unknown,unknown,low,HAEの病態・メカニズムに関する基礎研究として、科学的背景の理解を深める参考資料として保持します。,2026-04-18T15:27:04Z
41409162,10.1021/acsptsci.5c00499,europepmc,Longitudinal Plasma Multiomics Characterization of Nephrotoxicity in Beagles Following Repeated Dosing of Enteric-Coated Propyl Gallate Tablets,"Permeation enhancers (PEs) are excipients used in oral biotherapeutic formulations to facilitate the transport of bioactive compounds across the intestinal barrier and prevent their degradation. Concerns associated with the chronic use of PEs demand comprehensive approaches to elucidate their potential toxicity mechanisms. A recent publication from our group reported nephrotoxicity in beagles after daily administration of enteric-coated (EC) tablets containing propyl gallate (PG) as a PE. To further characterize EC-PG-mediated nephrotoxicity mechanisms, we conducted a longitudinal mass spectrometry (MS)-based multiomics analysis of the dog plasma lipidome and proteome. Time-course analyses revealed elevation across multiple lipid classes and, in particular, species containing arachidonic acid, which may reflect EC-PG treatment-induced inflammation. At the protein level, alterations in biological processes associated with coagulation, complement activation, protein degradation and metabolism, and lipid transport and metabolism were observed. Integrative multiomics analyses provided additional insights into toxicity mechanisms at the interface between lipids and proteins. This holistic approach highlighted lipid transport and metabolism, oxidative stress, and inflammation as altered biological processes by EC-PG administration. Altogether, longitudinal multiomics profiling and integrative analysis provided additional mechanistic hypotheses for EC-PG induced renal toxicity, demonstrating the value of such an approach to investigate mechanisms relevant to drug safety.",ACS pharmacology & translational science,2025-11-13,Reyes-Garcés N,Reyes-Garcés N; Sun W; Hummer BT; Peng X; Vaca Jácome AS; Forsberg E; Willetts M; Rosenbaum AI; Contrepois K,unspecified HAE,basic science,unknown,unknown,low,HAEの病態・メカニズムに関する基礎研究として、科学的背景の理解を深める参考資料として保持します。,2026-04-18T15:27:04Z
41407191,10.1016/j.jid.2025.11.021,europepmc,Molecular signatures and signaling interactions of the hair follicle stem cell niche,"Signaling interactions between the dermal papilla and neighboring stem cells (SCs) in the hair germ and bulge regulate new follicle growth in the hair cycle. To study these interactions, the 3 populations had been profiled together by now-outdated microarrays or separately by bulk RNA sequencing. Recent single-cell transcriptomics established signatures of dermal papilla, bulge SCs, and hair germ SCs, but low detection sensitivity limited the depth of gene expression discovery. In this study, we define the transcriptomes of dermal papilla cells, bulge SCs, hair germ SCs, epidermal and follicle epithelial cells and dermal fibroblasts-after flow sorting each population from 4 neighboring mouse back skin regions-to gain deeper insights into the unique gene expression programs of hair follicle SCs and their instructive niche. With cross-comparisons of 56 whole-transcriptome measurements, we classify cell type-specific molecular signatures of enriched genes with unprecedented sensitivity. Joint analysis with signatures from 15 leading studies published in the last 20 years revealed many previously undescribed dermal papilla, bulge SC, and hair germ SC genes in mouse and human counterparts. With ligand-receptor mapping and CellChat analyses, we then uncover comprehensive cell-cell communication insights. Finally, we provide our transcriptome data in a full update of our Hair-GEL repository along with numerous signature and other gene tables for easy exploration of gene expression in hair follicle SCs and their niche.",The Journal of investigative dermatology,2025-12-15,Ghuwalewala S,Ghuwalewala S; Cao J; Rezza A; Rangl M; Kwiatkowski A; Brown A; Grisanti L; Heitman N; Schober M; Wang Z; Ma'ayan A; Almet AA; Plikus MV; Rendl M,unspecified HAE,other,unknown,unknown,low,HAEに関する文献として、MA活動の参考資料として保持します。,2026-04-18T15:27:04Z
41402665,10.1038/s44161-025-00749-4,europepmc,Human genetics implicate thromboembolism in the pathogenesis of long COVID in individuals of European ancestry,"SARS-CoV-2 infection can result in long COVID, characterized by post-acute symptoms from multiple organs. Current hypotheses on mechanisms underlying long COVID include persistent inflammation and thromboembolism; however, compelling evidence from humans is limited and causal associations remain unclear. In this study, we tested the association of thromboembolism-related genetic variants with long COVID in the Long COVID Host Genetics Initiative (n<sub>cases</sub> = 3,018; n<sub>controls</sub> = 994,582). Primary analyses revealed that each unit increase in the log odds of genetically predicted venous thromboembolism risk was associated with 1.21-fold odds of long COVID (95% confidence interval (CI): 1.08-1.35; P = 1.2 × 10<sup>-3</sup>). This association was independent of acute COVID-19 severity, was robust across various sensitivity analyses and was replicated in external datasets. Downstream analyses using gene-specific instruments, along with protein and gene expression data, suggested the protease-activated receptor 1 (PAR-1) as a potential molecular contributor to long COVID. These findings provide human genetic evidence implicating shared pathogenetic pathways in thromboembolism and long COVID.",Nature cardiovascular research,2025-12-16,Schuermans A,Schuermans A; Verstraete A; Lammi V; Nakanishi T; Ardissino M; Van den Eynde J; Sun BB; Georgakis MK; Guillen-Guio B; Wain LV; Brightling CE; PHOSP-COVID Collaborative Group; Van Weyenbergh J; Lewandowski AJ; Raman B; Zeberg H; Ollila HM; Burgess S; Natarajan P; Honigberg MC; Freson K; Vanassche T; Verhamme P,unspecified HAE,basic science,unknown,unknown,low,HAEの病態・メカニズムに関する基礎研究として、科学的背景の理解を深める参考資料として保持します。,2026-04-18T15:27:04Z
41398960,10.1186/s13024-025-00916-y,europepmc,The complement cascade in Alzheimer's disease: modern implications of an ancient immune protagonist,,Molecular neurodegeneration,2025-12-15,Papavergi MT,Papavergi MT; Bathini P; Singh B; Lemere CA,unspecified HAE,basic science,unknown,unknown,low,HAEの病態・メカニズムに関する基礎研究として、科学的背景の理解を深める参考資料として保持します。,2026-04-18T15:27:04Z
41390746,10.1038/s41467-025-66073-4,europepmc,Immunological and transcriptomic profile of chimeric live-attenuated Zika vaccine linked to protection in non-human primates,"Zika virus (ZIKV) is typically mild in humans but can cause severe congenital defects when contracted during pregnancy. Chimeric live-attenuated vaccine candidate YF-ZIK previously showed protective efficacy against lethal infection and developmental abnormalities in mice after a single dose. Here we demonstrate that YF-ZIK is safe, induces antiviral immunity, and protects rhesus macaques against high-dose experimental challenge. A single subcutaneous dose elicits neutralizing antibodies within 7-14 days, boosted by a second dose at 4 weeks. Passive serum transfer protects AG129 mice, supporting antibodies as a correlate of protection. YF-ZIK triggers balanced Th1/Th2 responses and a transcriptional profile resembling the licensed YF17D vaccine, involving multiple pathways favoring polyvalent immunity. Upon challenge, vaccinated macaques show no detectable viral RNA nor seroconversion to anti-ZIKV NS1 antibodies, suggesting sterilizing immunity. Systems analysis identifies TNFRSF17 as predictor of antibody responses to YF-ZIK, and GNAS and CD207 (Langerin) as potentially linked to clinical outcomes. The favorable preclinical safety, immunogenicity, and efficacy of YF-ZIK justify its future evaluation in humans.",Nature communications,2025-12-13,Ma J,Ma J; Malengier-Devlies B; Verstrepen BE; Alpizar YA; Vercruysse T; Javarappa MPA; Sanchez-Felipe L; Koopman G; de Groot NG; Matthys P; Neyts J; Verschoor EJ; Coelmont L; Thibaut HJ; Van Weyenbergh J; Dallmeier K,unspecified HAE,basic science,unknown,unknown,low,HAEの病態・メカニズムに関する基礎研究として、科学的背景の理解を深める参考資料として保持します。,2026-04-18T15:27:04Z
41387722,10.1038/s41467-025-67238-x,europepmc,Genetic profiling of the circulating proteome in common diseases suggests causal proteins and improves risk prediction,"Elucidating the genetic regulation of protein expression in specific disease states is important for understanding how genetic variation impact disease pathology. To this end, we conduct a large-scale genome-proteome-wide pQTL analysis on 2901 plasma proteins among 7626 healthy individuals and 28,064 patients across 42 disease statuses. We find 25,987 independent pQTL associations across 2224 regions, and investigate similarities and differences in their regulatory effects across various diseases and health states. We find that pQTL identified in specific diseases are more likely to be disease risk variants. We then integrate the association findings with Mendelian randomisation to identify 110 high-confidence causal proteins associated with 21 diseases, including Apolipoprotein(a) for cardiovascular diseases and angiotensin-converting enzyme for type 2 diabetes. Finally, we develop risk prediction models by integrating pQTL-derived polygenic risk scores and causal-protein-derived protein risk scores, which demonstrate good performance in discriminating populations at high risk for 21 disease types. These results indicate that disease state partly determines the impact of genetic variation on protein expression, implicating disease-related and disease-discordant pQTL associations as regulators of disease progression.",Nature communications,2025-12-12,Ma Q,Ma Q; Cai Y; He C; Li Y; Ning C; Zhang M; Lu Z; Chen C; Zong Y; Wu F; Jin M; Wei Y; Li X; Yang X; Huang C; Li B; Ma Z; Zhu Y; Miao X; Tian J,unspecified HAE,other,unknown,unknown,low,HAEに関する文献として、MA活動の参考資料として保持します。,2026-04-18T15:27:04Z
41377691,10.1016/j.jdsr.2025.11.004,europepmc,Unveiling the dental cellular landscape: A comprehensive review of single-cell RNA sequencing in human dental tissues,"Single-cell RNA sequencing (scRNA-seq) has advanced the understanding of cellular heterogeneity and molecular dynamics in human dental tissues. This systematic review critically evaluated scRNA-seq studies exploring the cellular composition of human dental tissues, comparing <i>in situ</i> and cultured environments under both healthy and diseased conditions. Original research articles meeting the inclusion criteria were assessed for cell type identification, transcriptional profiles, analytical platforms, and other key biological insights by two independent authors. A total of fifteen studies that met the inclusion criteria revealed diverse cell populations, including mesenchymal stem cells (MSCs), immune cells, endothelial cells, and odontoblast-like cells, each exhibiting distinct transcriptional signatures in homeostasis, regeneration, and disease. Key findings included distinct MSC subpopulations, including <i>THY1</i> <sup>+</sup>, <i>CD24</i> <sup>+</sup>, <i>FRZB</i> <sup>+</sup>, and <i>NOTCH3</i> <sup>+</sup>/<i>PDGFRB</i> <sup>+</sup>, exhibiting unique differentiation potential, along with significant heterogeneity in odontoblast lineage. Moreover, carious dental pulp undergoes a fibrotic transcriptional shift (e.g., <i>COL1A1</i>, <i>FN1</i>, and <i>TNC</i>), whereas periodontitis exhibits increased expression of pro-inflammatory cytokines (<i>IL-1β</i> and <i>TNFα)</i> and diminished periodontal MSC regenerative capacity. This review underscores the contributions of scRNA-seq in providing unprecedented insights into the complexity and functional heterogeneity of dental tissues, offering a foundation for advancing targeted regenerative therapies and guiding future translational research in dental medicine.",The Japanese dental science review,2025-11-25,Shah MS,Shah MS; Kondo T; Sundarabupathi M; Samaranayake LP; Jamal M; Egusa H,unspecified HAE,burden/QoL,review,high,high,HAEに関するメタ解析・SRとして、エビデンスの全体像把握に活用できる可能性があります。,2026-04-18T15:27:04Z
41372929,10.1186/s13018-025-06500-w,europepmc,MiR499-5P loaded MSC derived exosomes affect oxidative stress and inflammatory response after spinal cord injury by targeting genes,"Spinal cord injury (SCI) is a severe and prevalent disorder of the central nervous system that leads to sensory and motor dysfunction, with approximately 700,000 new cases reported annually. Recently, miRNA-mRNA regulatory networks have garnered significant attention from researchers. Preliminary evidence from animal models and bioinformatic analyses suggests that altered miRNA expression affects critical pathophysiological processes in SCI. Therefore, the miRNA-target gene interaction network holds promise as a potential therapeutic avenue to promote neural recovery post-SCI. In this study, we demonstrated for the first time that MSC-EXO-miR499-5P can protect neurons and promote the recovery of motor function in SCI mice. First, we selected the GSE2599 dataset through bioinformatic analysis and identified differentially expressed genes (DEGs) using the limma package. Subsequently, we focused on the upregulated DEGs enriched in the Kyoto Encyclopedia of Genes and Genomes (KEGG) pathways related to oxidative stress, inflammatory responses, and apoptosis. Following the comparative analysis, miR499-5P was selected for further in vitro and in vivo investigations. Subsequent evaluations demonstrated that MSC-EXO-miR499-5P promoted cell growth, alleviated post-injury oxidative stress and inflammation, and contributed to the repair of the spinal cord microenvironment while enhancing functional recovery in SCI mice. In summary, our findings suggest that MSC-EXO containing miR499-5P represents a novel therapeutic approach for the treatment of SCI.",Journal of orthopaedic surgery and research,2025-12-10,Pang L,Pang L; Qi L; Wang H; Zhu T; Wang Y,unspecified HAE,basic science,unknown,unknown,low,HAEの病態・メカニズムに関する基礎研究として、科学的背景の理解を深める参考資料として保持します。,2026-04-18T15:27:04Z
41366799,10.1186/s13098-025-02046-3,europepmc,Association between angiopoietin-1 and metabolic dysfunction-associated steatotic liver disease: a cross‑sectional study,"<h4>Background and aim</h4>Angiogenesis is considered a vital mechanism of metabolic dysfunction-associated steatotic liver disease (MASLD), while angiopoietin-1 (ANGPT1) is a crucial regulatory factor of angiogenesis. However, whether circulating ANGPT1 level is related to MASLD remains unclear.<h4>Methods</h4>To conduct this cross-sectional study, adults who underwent their annual health examinations at the First Affiliated Hospital of Zhejiang University during January, 2024 to March, 2024 were enrolled. Anthropometric and biochemical parameters were measured. Mann-Whitney U test, chi-squared (χ2) test, Spearman's analysis, step-wise univariate and multivariate logistic regression were used to analyze the role of ANGPT1 in MASLD.<h4>Results</h4>A total of 169 MASLD patients and 204 non-MASLD controls were enrolled. MASLD patients had significantly higher serum level of ANGPT1 than non-MASLD controls (44.37(36.86-50.43) versus 35.17(26.10-43.89), ng/ml, P < 0.001). Serum ANGPT1 levels were positively related to the prevalence of MASLD (from 5.71% in the first quartile, to 37.32%, 53.71%, 95.24% in the second, third, and fourth quartiles, respectively, P<sub>trend</sub> < 0.001). Both univariate and multivariate stepwise logistic regression show positive correlation between ANGPT1 and MASLD (odds ratio (OR) 1.088, 95% confidence interval (CI) 1.063-1.113, P < 0.001; adjusted OR 1.084, 95% CI 1.038-1.133, P < 0.001, respectively). These positive correlations remain significant in different subgroups of age, gender, w/o obese or hyperglycemia (adjusted OR 1.031-1.172, all P < 0.01).<h4>Conclusions</h4>This study revealed a positive association between serum ANGPT1 and MASLD, suggesting its potential as both a diagnostic and a therapeutic target.",Diabetology & metabolic syndrome,2025-12-09,Wang N,Wang N; Zhang J; Zhou J; Shen X; Li Y; Ke Y; Li Y; Lu Z; Yu C; Chen Y,HAE-nC1INH,diagnosis,RWE/observational,medium,medium,正常C1-INH型HAEに関する観察研究として、実臨床での疾患管理状況を把握するための参考資料として保持します。,2026-04-18T15:27:04Z
41361833,10.1186/s13059-025-03892-0,europepmc,"Methylome-wide association studies and epigenetic biomarker development for 133 mass spectrometry-assessed circulating proteins in 14,671 Generation Scotland participants",,Genome biology,2025-12-08,Robertson JA,Robertson JA; Bajzik J; Vernardis S; Chybowska AD; McCartney DL; Grauslys A; Mur J; Smith HM; Campbell A; Drake C; Grant H; Pearce J; Russ TC; Adkin P; White M; Brigden C; Messner CB; Porteous DJ; Hayward C; Cox SR; Zelezniak A; Ralser M; Robinson MR; Marioni RE,unspecified HAE,diagnosis,unknown,unknown,medium,HAEの診断・バイオマーカーに関する知見として、早期診断啓発や診断精度向上に向けた医師教育の参考資料として活用できる可能性があります。,2026-04-18T15:27:04Z
41361767,10.1186/s12967-025-07444-9,europepmc,Integrated screening for small molecules interfering with PKM2: a drug repurposing strategy against glioblastoma,"<h4>Background</h4>Glioblastoma (GBM), the most aggressive adult brain tumor, remains a significant clinical challenge. Pyruvate kinase M2 (PKM2), by shifting between its tetrameric (metabolic) and dimeric (oncogenic) forms, drives GBM metabolism and tumorigenesis, regulating the Warburg effect. This study explores a drug repurposing strategy to identify clinically approved medications capable of stabilizing PKM2 in its tetrameric form, thus disrupting GBM metabolic adaptability and oncogenic potential.<h4>Methods</h4>We employed a multi-step screening strategy that integrates virtual screening, pharmacological data analysis, and in vitro cellular assays performed on anchorage-dependent and -independent GBM cell lines. This methodological process highlights the potential of repurposable drugs to target a cancer-specific metabolic vulnerability, thereby accelerating the development of novel therapeutic strategies for GBM.<h4>Results</h4>From thousands of clinically approved drugs, we selected, among those potentially able to cross the blood-brain barrier, three candidates that significantly inhibited GBM cell viability, reduced PKM2 nuclear localization, and impaired glycolytic activity, suggesting their potential to attenuate the Warburg effect and tumor malignancy.<h4>Conclusions</h4>We established a detailed screening protocol for drug repurposing to treat GBM. This approach targets a critical vulnerability of GBM cells by disrupting their bioenergetic balance. Since metabolic reprogramming and the associated Warburg effect are hallmarks of many cancers, not just GBM, we believe this approach holds significant potential for use against a wider range of tumors.",Journal of translational medicine,2025-12-08,Costantini S,Costantini S; Romeo I; Fanelli G; Roca MS; Gualtieri G; Bagnara P; Polo A; Di Gennaro E; Ortuso F; Alcaro S; Budillon A; Ciliberto G; Paggi MG; Abbruzzese C,unspecified HAE,basic science,unknown,unknown,low,HAEの病態・メカニズムに関する基礎研究として、科学的背景の理解を深める参考資料として保持します。,2026-04-18T15:27:04Z
41350900,10.1186/s40478-025-02090-0,europepmc,Complement pathway dysregulation and astrocyte alterations in Down syndrome: evidence from postmortem brain tissue and iPSC-derived astrocytes,"<h4>Background</h4>Down syndrome (DS), or trisomy 21 (T21), resulting from an extra copy of chromosome 21, occurs in 1 in 700-1,000 live births. Neuroinflammation is increasingly recognized as a critical contributor to DS neuropathology, although its underlying drivers remain unclear.<h4>Methods</h4>In this study, we analyzed available single-nucleus RNA sequencing (snRNAseq) data from postmortem cortical brains of individuals with DS and controls aged 36 years or younger, focusing specifically on astrocyte-enriched clusters. This analysis revealed significant alterations in complement system gene sets. To further investigate these findings, we employed a human in vitro model using astrocytes differentiated from urine-derived induced pluripotent stem cells (iPSCs) obtained from individuals with DS (T21-iPSCs). To our knowledge, this is the first study to evaluate both gene expression and protein levels of secreted complement components in T21-iPSC-derived astrocytes.<h4>Results</h4>snRNAseq re-analyzes identified an upregulation of complement system components, including C1R, C1S, C2, C4A, C4B, C5, C5AR1, C6, C8, CD59, CFI, and FCN2, and of glutamate transporters SLC1A3 (EAAT1/GLAST-1) and SLC1A2 (EAAT2/GLT-1) in DS astrocytes. Results from the in vitro model revealed distinct phenotypic changes in T21-iPSC-derived astrocytes, including enlarged cell and nuclear sizes, and enhanced glutamate uptake. Elevated levels of C5aR1 and MASP1 transcripts, as well as increased C4 protein secretion in culture supernatants, suggest dysregulation of the complement system in DS.<h4>Conclusions</h4>These findings highlight the potential contribution of astrocyte-driven complement signaling to DS neuropathogenesis. While further validation is needed, this work points to a candidate pathway that may serve as a target for future therapeutic investigation to improve the quality of life for individuals with DS.",Acta neuropathologica communications,2025-12-05,Teles E Silva AL,Teles E Silva AL; Prado de Oliveira PH; Yokota-Moreno BY; da Silva Fausto J; Avila JP; Nakaya HI; Sertié AL; Zampieri BL,unspecified HAE,burden/QoL,unknown,unknown,medium,HAE患者のQoL・疾患負荷データとして、患者アウトカムの重要性をpayerや医療者に伝える際の根拠として活用できる可能性があります。,2026-04-18T15:27:04Z
41345807,10.1007/s12035-025-05409-z,europepmc,Inflammatory microglia signals drive A1-like polarization of astrocytes even in the presence of HIV-1 Tat,"In the context of neurodegeneration, activated microglia facilitate inflammation via secretion of TNF-α, IL-1α, and C1q. Astrocytes exposed to this signaling array polarize to a reactive inflammatory phenotype, termed A1 or A1-like. Astrocytes are essential for neuronal survival, synaptic support, and blood-brain barrier (BBB) function, but A1-like astrocytes upregulate inflammatory gene expression, downregulate neurotrophic factors, and secrete neurotoxic signals. The consequences of A1-like polarization on BBB function are unknown but may have etiological implications for some diseases. Frequently identified by upregulation of complement component 3 (C3), A1-like astrocytes have been characterized in neurodegenerative disorders like Alzheimer's disease, with polarization correlated with disease progression and severity. However, the role of A1-like astrocytes in neurodegeneration associated with chronic viral infections, like HIV-1-associated neurocognitive disorder (HAND), remains unclear. An in vitro system using primary human astrocytes, as well as a BBB model featuring primary human brain microvascular endothelial cells (BMECs) co-cultured with astrocytes, was used to elucidate cellular and molecular consequences of chronic astrocyte activation. As measured by whole transcriptome analysis and protein expression assays, repeated treatment with TNF-α, IL-1α, and C1q induced A1-like polarization of astrocytes both in monoculture and in a BBB model, resulting in increased secretion of pro-inflammatory signals. No substantial change to BBB permeability was observed. In contrast, exposure to HIV-1 viral protein Tat did not independently induce A1-like polarization. Ongoing investigations into the effect of astrocyte polarization on BBB integrity and treatment with pathogenic proteins may provide insights into the role of neurotoxic astrocytes in neurovirologic pathologies.",Molecular neurobiology,2025-12-04,Lawrence JM,Lawrence JM; Dampier W; Mell JC; De Souza DR; Schardien K; Yeakle K; Barnett RJ; Sen B; Ahmed A; Bouchard M; Wigdahl B; Nonnemacher MR,unspecified HAE,diagnosis,unknown,unknown,medium,HAEの診断・バイオマーカーに関する知見として、早期診断啓発や診断精度向上に向けた医師教育の参考資料として活用できる可能性があります。,2026-04-18T15:27:04Z
41345651,10.1186/s12974-025-03644-8,europepmc,SerpinA3N-APOE interaction in astrocytes exacerbates Alzheimer's disease progression through NFκB activation,"Alzheimer's disease (AD) is one of the most prevalent neurodegenerative disorders characterized by β-amyloid (Aβ) deposition, neurofibrillary tangles, neuronal loss, and neuroinflammation. It represents a growing global health crisis. Although astrocytes contribute to neuroinflammatory cascades, their molecular regulators in AD progression remains elusive. Here, through single-cell transcriptomic analysis, we identified SerpinA3N as a disease-progressive modulator upregulated in AD astrocytes, with expression levels correlating with pathological severity. Astrocytic SerpinA3N knockdown in AD mice rescued cognitive deficits across multiple behavioral tests, and concurrently attenuated neuroinflammatory responses, as evidenced by decreased astrocytic/microglial activation and reduced cytotoxic substance release. Moreover, histopathological analyses demonstrated decreased neuronal loss and Aβ deposition following SerpinA3N knockdown. Mechanistically, we elucidated that SerpinA3N cooperated with APOE to exacerbate AD pathology through NFκB signaling activation. Our study uncovers a novel astrocyte-mediated pathogenic cascade driving AD progression and establishes SerpinA3N as a promising therapeutic target for neuroinflammation modulation in AD.",Journal of neuroinflammation,2025-12-04,Liu C,Liu C; Xu S; Yao H; Wang Y; Liu Q; Zhou H; Luo Y; Li X; Li S; Li C,unspecified HAE,other,unknown,unknown,low,HAEに関する文献として、MA活動の参考資料として保持します。,2026-04-18T15:27:04Z
41345250,10.1038/s42003-025-09138-w,europepmc,Astrocyte activation persists one year after TBI: a dynamic shift from inflammation to neurodegeneration,"Traumatic brain injury (TBI) remains a leading cause of chronic neurological impairment, yet the cellular mechanisms underlying long-term neurodegeneration in TBI remain incompletely understood. Astrocytes, the most abundant glial cell type, are central to maintaining neuroglial and neurovascular homeostasis. Following TBI, however, astrocytic activation contributes to sustained inflammation and neurotoxicity. In this study, we employed immunohistochemistry and RNA sequencing to longitudinally profile astrocyte morphology and transcriptional states at acute (2 days), subacute (2 weeks), and chronic (1 year) stages after controlled cortical impact in mice. We identified a temporally evolving astrocyte response-beginning with a pro-inflammatory profile acutely, transitioning through a profile suggestive of mixed inflammatory and neurodegenerative signatures subacutely, and culminating in a chronic state marked generally by expression of Alzheimer's and Parkinson's disease-associated genes. Notably, a subset of astrocyte-derived progenitor cells also was found up to one-year post-injury, expressing markers associated with neurogenesis. These findings reveal that astrocyte activation is not transient but persists chronically, undergoing a dynamic shift from inflammation to degeneration. The observed parallels between astrocyte states in chronic TBI and neurodegenerative disorders underscore their potential role in post-traumatic cognitive decline and highlight astrocyte-targeted interventions as a promising avenue for therapeutic development.",Communications biology,2025-12-04,Abou-El-Hassan H,Abou-El-Hassan H; Yahya T; Zusman BE; Albastaki O; Imkamp HT; Ye JJ; Percopo F; Christenson JR; Al Mansi MH; Lu KJ; Gabriely G; Tatematsu BK; Habashy KJ; Lopes JR; Maghzi AH; Rezende RM; Quintana FJ; Weiner HL; Izzy S,unspecified HAE,burden/QoL,unknown,unknown,medium,HAE患者のQoL・疾患負荷データとして、患者アウトカムの重要性をpayerや医療者に伝える際の根拠として活用できる可能性があります。,2026-04-18T15:27:04Z
